4.739482288312876435e+00,5.869146340732751987e+00,8.183336667333467318e-01,7.256851370274055579e-01
4.488716256935821214e+00,5.867048286935104606e+00,8.867873574714943974e-01,6.708041608321665406e-01
4.250031108880453878e+00,5.914692749864036259e+00,8.997699539907982880e-01,6.755251050210042685e-01
4.022758680959372057e+00,6.009025712669034291e+00,9.074414882976595820e-01,7.333566713342669630e-01
3.806230809985166275e+00,6.146993158499579835e+00,9.139327865573115828e-01,8.218743748749750555e-01
3.599793759413378424e+00,6.325528981971551445e+00,9.168833766753351489e-01,9.617323464692939528e-01
3.405852241003513026e+00,6.539004308575687041e+00,9.245549109821965539e-01,1.037857571514302801e+00
3.233634768627215994e+00,6.776072387405588593e+00,9.339967993598721208e-01,1.129325865173034682e+00
3.093293161304504046e+00,7.024612801403882223e+00,9.511102220444089816e-01,1.141718343668733926e+00
2.994979238055393012e+00,7.272505133513189612e+00,9.587817563512703867e-01,1.091558311662332637e+00
2.948844817899898274e+00,7.507628966676128890e+00,9.599619923984797909e-01,9.522904580916183859e-01
2.962999649046908601e+00,7.719006959773808241e+00,9.717643528705741662e-01,8.177435487097420852e-01
3.030461300116815693e+00,7.904109817295180918e+00,1.021924384876975456e+00,7.227345469093819919e-01
3.137482980168153190e+00,8.064194682775426060e+00,1.015433086617323566e+00,6.448389677935587594e-01
3.270285990903028406e+00,8.200536560311263656e+00,9.275055011002201200e-01,5.811062212442489328e-01
3.415091634023548650e+00,8.314410453999407480e+00,7.734846969393879279e-01,5.427485497099420186e-01
3.558346294310268387e+00,8.407073709020288277e+00,6.513302660532107602e-01,5.238647729545909959e-01
3.695246461218287148e+00,8.479097180183511995e+00,5.663532706541308803e-01,4.849169833966793242e-01
3.832355319664174420e+00,8.530159947025980571e+00,5.250450090018004001e-01,4.701640328065613272e-01
3.976995709954251890e+00,8.559881490242116087e+00,5.055711142228446198e-01,4.607221444288858159e-01
4.136490472394839912e+00,8.567881290526335292e+00,4.902280456091218652e-01,4.648529705941188417e-01
4.318162447292261064e+00,8.553778828573062043e+00,4.902280456091218652e-01,4.902280456091218652e-01
4.526900707752615105e+00,8.517226661323839210e+00,5.108821764352871053e-01,5.238647729545909959e-01
4.757859258081123421e+00,8.458009650708691041e+00,5.480596119223845042e-01,5.421584316863372610e-01
5.003758335382785027e+00,8.375945734904780338e+00,5.970394078815763894e-01,5.799259851970395285e-01
5.257318176762596273e+00,8.270852852089255691e+00,6.525105021004201644e-01,6.182836567313463316e-01
5.511259019325557951e+00,8.142548940439276350e+00,7.109321864372875055e-01,6.584116823364674076e-01
5.758186988953699625e+00,7.991079678005698739e+00,7.711242248449691195e-01,7.221444288857772342e-01
5.989000769526103163e+00,7.819898406134864643e+00,8.366273254650931079e-01,7.675835167033407958e-01
6.193284652686903868e+00,7.635081692125804231e+00,9.357671534306862826e-01,8.124324864972995996e-01
6.360589119347501708e+00,7.442773581758657997e+00,1.040218043608721832e+00,8.808861772354471542e-01
6.480464650419304640e+00,7.249118120813562882e+00,1.077395479095819342e+00,9.487497499499900622e-01
6.542487980432034611e+00,7.060252577525349515e+00,1.040218043608721832e+00,1.020744148829765940e+00
6.541801610999378624e+00,6.880877380524703213e+00,1.053200640128025611e+00,1.025465093018603779e+00
6.485966005200642925e+00,6.712487179514180724e+00,1.135227045409081814e+00,9.316363272654532013e-01
6.384221857687656154e+00,6.556142861296973656e+00,1.209581916383276834e+00,8.608221644328866162e-01
6.245809863112246951e+00,6.412905312676269176e+00,1.101590318063612850e+00,7.864672934586918185e-01
6.079970716126237740e+00,6.283835420455258003e+00,9.286857371474296352e-01,7.191938387677536682e-01
5.895356546174099321e+00,6.170068932419502161e+00,7.793858771754351711e-01,6.920484096819364828e-01
5.696269617964654586e+00,6.073294865802403741e+00,7.144728945789158292e-01,6.708041608321665406e-01
5.485062573957350196e+00,5.995450214841473446e+00,6.967693538707742107e-01,6.601820364072815694e-01
5.264078860280264394e+00,5.938473143477063232e+00,7.162432486497299911e-01,6.649029805961192974e-01
5.035661923061481637e+00,5.904301815649534824e+00,7.433886777355471764e-01,6.944088817763554022e-01
